# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = model_1f66bce6668_model
# start_datetime = 2023-01-05 19:42:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/Rtmp5HTisb/standata-1f62f65d9e7.json
# init = 2 (Default)
# random
#   seed = 1261831243
# output
#   file = /home/jrun/Conhecimentos-TPACK/chains/model/model_52478221b64ec96f8120c5c459f578ab-202301051942-1-6b75c8.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/jrun/Conhecimentos-TPACK/chains/model/model_52478221b64ec96f8120c5c459f578ab-profile-202301051942-1-4fbba7.csv
# num_threads = 8 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,b.2,b.3,b.4,b.5,b.6,b.7,b.8,b.9,Intercept,sigma,b_Intercept
# Adaptation terminated
# Step size = 0.466307
# Diagonal elements of inverse mass matrix:
# 0.000881751, 6.15864e-05, 0.00796852, 0.0169489, 0.00910237, 0.00185718, 0.0137861, 0.000938736, 0.00264971, 0.00212853, 1.50106e-05
-408610,0.944125,0.466307,3,7,0,408615,0.00520343,-0.195754,0.0578411,-0.286316,0.14606,0.678084,2.98084,1.04237,-0.730311,45.03,14.4109,45.9306
-408609,0.992873,0.466307,3,7,0,408612,-0.0123039,-0.193199,-0.0244583,-0.0649664,-0.056685,0.753587,2.91275,1.01661,-0.527752,45.1418,14.4257,45.1526
-408614,0.760222,0.466307,2,3,0,408616,-0.022571,-0.178917,-0.0760787,-0.201873,-0.0391268,0.75287,3.02112,1.01382,-0.483729,45.185,14.4146,44.748
-408611,0.99292,0.466307,3,7,0,408617,0.00147021,-0.19336,0.0513096,-0.0985517,0.224395,0.726138,2.74747,1.03707,-0.75956,45.0177,14.3955,45.6776
-408607,0.992542,0.466307,3,7,0,408613,0.00273427,-0.185147,-0.0389973,-0.234519,0.198184,0.776956,2.83516,1.0414,-0.667795,45.1302,14.4203,45.1986
-408614,0.75458,0.466307,3,7,0,408617,-0.0666648,-0.179373,-0.0251739,0.254515,-0.0316854,0.784933,2.86142,1.00776,-0.592277,45.0443,14.4401,44.5347
-408609,0.995624,0.466307,3,7,0,408616,-0.0318078,-0.176005,-0.0375209,0.112677,0.120872,0.737541,2.88468,1.01886,-0.601907,45.0626,14.3639,44.647
-408610,0.939131,0.466307,3,7,0,408614,0.0604632,-0.189031,0.0635106,-0.1311,0.121597,0.768128,2.86283,1.03299,-0.667202,45.1349,14.4577,45.2838
-408614,0.858224,0.466307,3,7,0,408618,0.0329241,-0.185643,0.0417882,0.0735794,0.0716713,0.726825,2.58197,1.06835,-0.637657,45.0537,14.3317,45.0425
-408609,1,0.466307,3,7,0,408616,0.0092638,-0.18525,-0.0674431,0.0264526,0.0107621,0.718263,2.73645,1.10156,-0.675221,45.0641,14.4209,45.1407
-408608,0.979252,0.466307,3,7,0,408611,-0.000495357,-0.189567,-0.130137,0.0573713,0.0832096,0.698101,2.84237,1.08411,-0.663495,45.1124,14.3832,45.3225
-408607,0.991136,0.466307,3,7,0,408611,-0.0376527,-0.195523,-0.0534524,-0.30802,0.171252,0.773069,2.89235,1.02721,-0.663002,45.1192,14.4328,45.5795
-408611,0.804047,0.466307,3,7,0,408615,-0.0181038,-0.17342,0.0962972,0.0754485,0.220567,0.765033,2.71722,1.03735,-0.623846,45.0846,14.3846,44.4851
-408617,0.8261,0.466307,3,7,0,408619,-0.00376949,-0.20981,-0.238564,-0.458046,-0.0886639,0.687416,3.08595,1.00793,-0.65105,45.0847,14.3943,46.5548
-408614,0.965503,0.466307,3,7,0,408627,0.0192216,-0.203579,0.0361601,-0.436459,0.31642,0.752567,3.07804,0.973403,-0.635624,45.1537,14.4317,45.913
-408612,0.97134,0.466307,3,7,0,408619,-0.00282963,-0.205405,0.0745775,-0.450665,0.231275,0.73712,3.00062,0.960353,-0.63586,45.1227,14.4271,46.1072
-408612,0.939313,0.466307,3,7,0,408619,-0.059178,-0.184633,0.037052,-0.0732548,-0.10114,0.749491,2.61123,1.10384,-0.643434,45.0569,14.3888,45.044
-408612,0.811322,0.466307,3,15,0,408618,0.042453,-0.194603,-0.0864408,-0.222142,0.249807,0.710339,3.08722,0.956193,-0.647353,45.1422,14.4238,45.8143
-408616,0.747081,0.466307,3,7,0,408621,0.0275817,-0.186401,-0.163895,-0.22511,0.242827,0.729344,2.92513,0.965595,-0.684402,45.2028,14.4629,45.7557
-408609,0.942304,0.466307,3,7,0,408621,-0.0399953,-0.187141,-0.00270516,-0.0904256,0.109096,0.732725,2.66472,1.06465,-0.682743,45.034,14.4169,45.2848
-408610,0.976105,0.466307,3,7,0,408612,0.0130169,-0.190149,-0.0268619,-0.346961,0.0450994,0.704859,3.04668,1.01001,-0.582396,45.1699,14.4103,45.576
