# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = model_1f66bce6668_model
# start_datetime = 2023-01-05 19:42:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/Rtmp5HTisb/standata-1f62f65d9e7.json
# init = 2 (Default)
# random
#   seed = 1261831243
# output
#   file = /home/jrun/Conhecimentos-TPACK/chains/model/model_52478221b64ec96f8120c5c459f578ab-202301051942-2-6b75c8.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/jrun/Conhecimentos-TPACK/chains/model/model_52478221b64ec96f8120c5c459f578ab-profile-202301051942-2-4fbba7.csv
# num_threads = 8 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,b.2,b.3,b.4,b.5,b.6,b.7,b.8,b.9,Intercept,sigma,b_Intercept
# Adaptation terminated
# Step size = 0.472107
# Diagonal elements of inverse mass matrix:
# 0.00093735, 7.15041e-05, 0.00927371, 0.0165994, 0.00951441, 0.00177619, 0.0134775, 0.00107767, 0.00227004, 0.00191739, 1.53874e-05
-408609,1,0.472107,3,7,0,408615,-0.00291526,-0.182997,-0.0232345,-0.244297,0.103614,0.813199,2.80188,0.993202,-0.615388,45.0411,14.3985,44.9748
-408609,0.758198,0.472107,3,7,0,408615,-0.0393895,-0.186763,-0.020264,0.113251,0.016133,0.698029,2.93931,1.04261,-0.68485,45.1361,14.4427,45.3816
-408610,0.872241,0.472107,3,7,0,408616,0.00213317,-0.188285,-0.0672673,-0.176382,0.187529,0.832668,2.72875,1.03414,-0.61369,45.0954,14.4469,44.9128
-408609,0.963339,0.472107,3,7,0,408615,-0.0310926,-0.190371,-0.017625,-0.00151789,-0.0133204,0.655848,3.06077,1.07106,-0.674831,45.0759,14.402,45.5184
-408608,0.736496,0.472107,3,7,0,408616,0.023527,-0.201865,-0.0483979,-0.237153,0.0512039,0.704239,2.80701,1.09163,-0.668721,45.1304,14.4358,45.8829
-408608,0.905647,0.472107,3,7,0,408614,-0.0592074,-0.195468,-0.128765,-0.204588,-0.0240416,0.74535,2.85401,1.04367,-0.688113,45.1457,14.3878,45.8095
-408611,0.559545,0.472107,3,7,0,408620,0.0385458,-0.181614,0.160621,-0.139866,0.210251,0.728052,2.99426,1.03635,-0.612538,45.061,14.3927,44.8413
-408611,0.933062,0.472107,3,15,0,408615,-0.0446893,-0.204602,-0.0757639,-0.057222,-0.0608975,0.772751,2.81744,1.04723,-0.657372,45.1155,14.4458,45.7273
-408609,0.970286,0.472107,3,7,0,408615,-0.0496036,-0.192999,-0.0575873,-0.325242,-0.00329659,0.77221,2.88421,1.06661,-0.685645,45.0759,14.421,45.5332
-408612,0.837804,0.472107,3,7,0,408616,-0.0572325,-0.197517,-0.100475,-0.484349,0.0938936,0.797131,2.78787,1.01558,-0.705568,45.0765,14.3902,45.9098
-408609,0.91652,0.472107,3,7,0,408616,0.0106706,-0.182492,0.0645291,-0.0317643,0.171205,0.692849,2.7877,1.01498,-0.592482,45.1196,14.4112,45.1148
-408613,0.818663,0.472107,3,7,0,408617,-0.0476085,-0.188516,-0.000117953,0.00811006,-0.0367079,0.814348,2.8099,1.08832,-0.637415,45.0307,14.4002,44.7551
-408611,0.980256,0.472107,3,7,0,408617,-0.0619476,-0.188623,0.0245122,-0.0665676,0.0621097,0.786225,2.81422,1.09078,-0.632542,45.0425,14.394,44.8411
-408615,0.955554,0.472107,3,7,0,408620,0.0260518,-0.214587,-0.0279174,-0.214008,0.0925676,0.704233,3.13804,0.985251,-0.616606,45.1543,14.3976,46.2654
-408614,1,0.472107,3,7,0,408619,-0.000549019,-0.213568,-0.0198122,-0.244125,0.0303092,0.708909,3.10642,0.978756,-0.643301,45.1606,14.4276,46.3965
-408608,1,0.472107,3,7,0,408615,-0.0180675,-0.188848,0.0958677,-0.283833,0.0886985,0.703788,2.98894,1.02123,-0.617118,45.1571,14.377,45.5017
-408608,0.953173,0.472107,3,7,0,408612,0.0188331,-0.195001,-0.107522,-0.15254,0.0462136,0.78955,2.76639,1.03117,-0.608481,45.0958,14.4361,45.3203
-408608,0.97436,0.472107,3,7,0,408611,-0.0226514,-0.192663,-0.140326,-0.17059,0.0756305,0.811639,2.78414,1.02525,-0.588806,45.0833,14.4201,45.1214
-408617,0.331277,0.472107,2,3,0,408620,0.000599714,-0.199114,-0.173786,0.102963,0.111783,0.823911,2.79529,1.02775,-0.590802,45.0895,14.4378,45.036
-408611,0.992261,0.472107,3,15,0,408619,-0.00763409,-0.172664,-0.0546665,-0.162764,0.0833715,0.71242,2.90584,1.04455,-0.600836,45.1489,14.3864,44.8832
-408611,0.98404,0.472107,3,7,0,408613,-0.0099839,-0.212443,0.0860021,-0.186974,0.0173516,0.733193,2.86261,1.02145,-0.659578,45.0918,14.4303,46.1342
-408611,1,0.472107,3,7,0,408615,-0.0280568,-0.170954,-0.138173,0.144942,0.109879,0.78632,2.9303,1.03779,-0.578749,45.1197,14.4231,44.2536
-408608,1,0.472107,3,7,0,408614,-0.0441903,-0.202193,0.0246756,-0.355083,0.0336128,0.744604,2.84432,1.03185,-0.683939,45.1263,14.4157,46.0331
-408611,0.813134,0.472107,2,3,0,408612,-0.0584198,-0.203414,0.036245,-0.433242,0.0202518,0.733933,2.83531,1.02887,-0.707481,45.1105,14.4457,46.2403
-408606,0.916633,0.472107,3,7,0,408615,-0.0129185,-0.194109,0.124977,-0.145155,0.137351,0.71782,2.93119,1.0336,-0.667744,45.0957,14.3906,45.526
-408608,0.8278,0.472107,3,7,0,408611,0.00426067,-0.189407,-0.192255,-0.0473492,0.040048,0.748697,2.88928,1.04153,-0.667997,45.1568,14.4343,45.4355
-408607,0.932502,0.472107,3,7,0,408611,-0.00941781,-0.195108,0.0733102,-0.221258,0.0669556,0.71729,2.85836,1.02807,-0.581149,45.0544,14.3937,45.4134
