# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = model_6b744330bda_model
# start_datetime = 2023-03-30 08:11:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpO6pATb/standata-6b74b805b47.json
# init = 2 (Default)
# random
#   seed = 549394854
# output
#   file = /home/jrun/Conhecimentos-TPACK/chains/model_pca/model_0468bb5407fbaa407fffd48330a4259e-202303300811-1-895f5d.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/jrun/Conhecimentos-TPACK/chains/model_pca/model_0468bb5407fbaa407fffd48330a4259e-profile-202303300811-1-0f71b0.csv
# num_threads = 8 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,b.2,b.3,b.4,b.5,b.6,b.7,b.8,b.9,b.10,b.11,b.12,Intercept,sigma,b_Intercept
# Adaptation terminated
# Step size = 0.342056
# Diagonal elements of inverse mass matrix:
# 0.000851782, 6.74622e-05, 0.00918855, 0.0166609, 0.00992883, 0.00168348, 0.0125504, 0.00117666, 0.0523279, 0.0457613, 0.0531496, 0.0726675, 0.00175891, 1.46368e-05
-408469,0.996865,0.342056,4,15,0,408474,0.0549402,-0.194176,-0.097431,-0.105378,0.361297,0.651819,2.76495,1.17032,2.03329,-0.77697,-0.694349,-1.00304,45.1473,14.3625,43.5365
-408464,0.979226,0.342056,3,7,0,408473,0.0485555,-0.195498,0.0102629,-0.149598,0.234351,0.657015,2.73339,1.13132,1.94137,-0.854932,-0.765956,-0.965871,45.1514,14.3795,43.8252
-408463,0.941219,0.342056,4,15,0,408470,0.0297954,-0.179228,0.0234057,0.0261525,0.196608,0.768568,2.6426,1.0301,1.65668,-0.990135,-0.897134,-1.5675,45.0872,14.3774,43.3161
-408463,0.976607,0.342056,4,15,0,408469,-0.00910408,-0.191652,-0.0201891,-0.120784,0.108641,0.652713,2.84228,1.10418,1.92506,-0.571317,-0.312548,-0.955772,45.1338,14.3431,43.5974
-408463,0.97983,0.342056,4,15,0,408468,0.00749285,-0.183986,0.0147836,-0.269071,0.326009,0.774569,2.68628,1.04958,1.50768,-1.08395,-0.881084,-1.25277,45.0374,14.428,43.4985
-408463,0.919419,0.342056,4,15,0,408469,0.0435011,-0.182653,-0.132555,-0.0174937,0.115052,0.689072,2.79991,1.1061,1.54041,-0.986405,-0.676057,-1.15002,45.1691,14.4371,43.5706
-408463,0.995454,0.342056,4,15,0,408468,-0.00464069,-0.186941,0.0603593,-0.295197,0.329193,0.748447,2.75043,1.05315,1.85682,-0.798537,-0.522604,-0.870873,45.0365,14.4234,43.3392
-408463,0.993231,0.342056,3,7,0,408466,-0.0150901,-0.194479,0.0685844,-0.215432,0.253218,0.737984,2.80805,1.02583,1.91372,-0.763719,-0.578645,-1.18929,45.0183,14.3716,43.6258
-408468,0.517908,0.342056,4,15,0,408476,0.0256903,-0.181467,-0.149981,-0.102406,0.0682636,0.753737,2.91484,1.09546,2.23408,-0.669148,-0.261192,-1.05695,45.1754,14.3937,43.0219
-408465,0.987776,0.342056,4,15,0,408472,0.0127452,-0.189934,0.0816061,-0.0826163,0.404386,0.729341,2.74001,1.07881,1.7599,-0.978824,-0.934871,-1.51178,45.029,14.4107,43.4335
-408461,0.98321,0.342056,3,7,0,408469,0.0237557,-0.191597,-0.0334198,-0.158366,0.22915,0.669068,2.70925,1.05434,1.73915,-0.947139,-0.500266,-1.15134,45.0864,14.3718,43.9216
-408460,0.996817,0.342056,3,15,0,408468,0.0150896,-0.193698,-0.0628182,-0.198021,0.203085,0.66111,2.70295,1.08411,1.7065,-0.922344,-0.554807,-1.03615,45.1082,14.3733,43.995
-408464,0.791682,0.342056,4,15,0,408468,0.000671162,-0.191973,-0.0978981,-0.116288,0.164361,0.734811,2.76175,1.07925,2.02444,-0.921123,-0.675379,-1.25113,45.023,14.4001,43.5371
-408461,0.931236,0.342056,4,15,0,408470,0.0437974,-0.182496,-0.103833,-0.00123093,0.261575,0.749976,2.77193,1.02574,1.52635,-1.06676,-0.765245,-1.08123,45.1301,14.3836,43.5095
-408463,0.946095,0.342056,4,15,0,408468,-0.0109265,-0.186294,0.0576333,-0.185534,0.160523,0.672188,2.74701,1.11069,1.6369,-1.03538,-0.768534,-0.997562,45.0789,14.3817,43.6933
-408463,0.894946,0.342056,3,7,0,408471,0.0352562,-0.185245,-0.233719,-0.157928,0.271254,0.776131,2.67932,1.05123,2.04833,-0.609619,-0.290851,-0.84709,45.0823,14.3628,43.1339
-408460,0.997098,0.342056,3,7,0,408465,0.0225764,-0.186484,-0.0692874,-0.199802,0.180629,0.76219,2.72845,1.06183,1.9825,-0.664587,-0.464427,-0.751019,45.0736,14.3823,43.249
-408461,0.945941,0.342056,3,7,0,408465,-0.0137763,-0.188125,-0.0975754,-0.0838567,0.120317,0.733924,2.64438,1.05408,1.91033,-0.723303,-0.473887,-0.878197,45.0709,14.3671,43.4618
-408469,0.735637,0.342056,3,7,0,408474,-0.0153243,-0.18843,0.0277357,-0.402921,0.267842,0.686897,2.79598,1.14099,2.30242,-0.521438,-0.157642,-0.81573,45.0771,14.4053,43.1942
